date,symbol,F_mom121,F_er20,F_idiovol60,F_obv20,composite,rank
2025-01-02,AGQ,,,,,0.5,1.0
2025-01-02,BOIL,,,,,0.5,2.0
2025-01-02,CHAU,,,,,0.5,3.0
2025-01-02,DRN,,,,,0.5,4.0
2025-01-02,DUSL,,,,,0.5,5.0
2025-01-02,EDC,,,,,0.5,6.0
2025-01-02,ERX,,,,,0.5,7.0
2025-01-02,EURL,,,,,0.5,8.0
2025-01-02,FAS,,,,,0.5,9.0
2025-01-02,KORU,,,,,0.5,10.0
2025-01-02,LABU,,,,,0.5,11.0
2025-01-02,MEXX,,,,,0.5,12.0
2025-01-02,RETL,,,,,0.5,13.0
2025-01-02,SOXL,,,,,0.5,14.0
2025-01-02,TECL,,,,,0.5,15.0
2025-01-02,TMF,,,,,0.5,16.0
2025-01-02,TNA,,,,,0.5,17.0
2025-01-02,TQQQ,,,,,0.5,18.0
2025-01-02,TYD,,,,,0.5,19.0
2025-01-02,UCO,,,,,0.5,20.0
2025-01-02,UDOW,,,,,0.5,21.0
2025-01-02,UGL,,,,,0.5,22.0
2025-01-02,UPRO,,,,,0.5,23.0
2025-01-02,UTSL,,,,,0.5,24.0
2025-01-02,UUP,,,,,0.5,25.0
2025-01-02,UVXY,,,,,0.5,26.0
2025-01-02,UYM,,,,,0.5,27.0
2025-01-02,YINN,,,,,0.5,28.0
2025-01-03,AGQ,,,,,0.5,1.0
2025-01-03,BOIL,,,,,0.5,2.0
2025-01-03,CHAU,,,,,0.5,3.0
2025-01-03,DRN,,,,,0.5,4.0
2025-01-03,DUSL,,,,,0.5,5.0
2025-01-03,EDC,,,,,0.5,6.0
2025-01-03,ERX,,,,,0.5,7.0
2025-01-03,EURL,,,,,0.5,8.0
2025-01-03,FAS,,,,,0.5,9.0
2025-01-03,KORU,,,,,0.5,10.0
2025-01-03,LABU,,,,,0.5,11.0
2025-01-03,MEXX,,,,,0.5,12.0
2025-01-03,RETL,,,,,0.5,13.0
2025-01-03,SOXL,,,,,0.5,14.0
2025-01-03,TECL,,,,,0.5,15.0
2025-01-03,TMF,,,,,0.5,16.0
2025-01-03,TNA,,,,,0.5,17.0
2025-01-03,TQQQ,,,,,0.5,18.0
2025-01-03,TYD,,,,,0.5,19.0
2025-01-03,UCO,,,,,0.5,20.0
2025-01-03,UDOW,,,,,0.5,21.0
2025-01-03,UGL,,,,,0.5,22.0
2025-01-03,UPRO,,,,,0.5,23.0
2025-01-03,UTSL,,,,,0.5,24.0
2025-01-03,UUP,,,,,0.5,25.0
2025-01-03,UVXY,,,,,0.5,26.0
2025-01-03,UYM,,,,,0.5,27.0
2025-01-03,YINN,,,,,0.5,28.0
2025-01-06,AGQ,,,,,0.5,1.0
2025-01-06,BOIL,,,,,0.5,2.0
2025-01-06,CHAU,,,,,0.5,3.0
2025-01-06,DRN,,,,,0.5,4.0
2025-01-06,DUSL,,,,,0.5,5.0
2025-01-06,EDC,,,,,0.5,6.0
2025-01-06,ERX,,,,,0.5,7.0
2025-01-06,EURL,,,,,0.5,8.0
2025-01-06,FAS,,,,,0.5,9.0
2025-01-06,KORU,,,,,0.5,10.0
2025-01-06,LABU,,,,,0.5,11.0
2025-01-06,MEXX,,,,,0.5,12.0
2025-01-06,RETL,,,,,0.5,13.0
2025-01-06,SOXL,,,,,0.5,14.0
2025-01-06,TECL,,,,,0.5,15.0
2025-01-06,TMF,,,,,0.5,16.0
2025-01-06,TNA,,,,,0.5,17.0
2025-01-06,TQQQ,,,,,0.5,18.0
2025-01-06,TYD,,,,,0.5,19.0
2025-01-06,UCO,,,,,0.5,20.0
2025-01-06,UDOW,,,,,0.5,21.0
2025-01-06,UGL,,,,,0.5,22.0
2025-01-06,UPRO,,,,,0.5,23.0
2025-01-06,UTSL,,,,,0.5,24.0
2025-01-06,UUP,,,,,0.5,25.0
2025-01-06,UVXY,,,,,0.5,26.0
2025-01-06,UYM,,,,,0.5,27.0
