"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"NVDA","英伟达","222.270","+2.930","+1.34%","5356707000000.00","190287428","42069339861.00","222.500","222.530","300","600","219.350","219.340","222.730","218.030","1.86","-33.33%","2.14%","45.361","0.82%","0.50%","+0.78%","+1.82%","-2.60%","+2.61%","+11.82%","+32.99%","+26.11%","+19.46%","半导体"
"AAPL","苹果","336.130","-0.870","-0.26%","4905541723400.00","86588203","29099784713.00","334.750","334.880","440","40","337.905","337.000","338.490","332.530","2.21","83.33%","1.77%","45.057","0.59%","0.06%","-0.01%","+1.16%","+2.41%","+7.98%","+14.79%","+35.34%","+37.42%","+23.98%","消费电子产品"
"GOOGL","谷歌-A","349.540","+2.210","+0.64%","4274874200000.00","47631754","16757269141.00","350.810","350.870","1400","80","357.305","347.330","359.440","348.445","1.96","89.19%","3.17%","32.334","0.45%","0.34%","-0.05%","+3.26%","+2.13%","+2.67%","+1.30%","+27.57%","+37.58%","+11.89%","互联网内容与信息"
"GOOG","谷歌-C","344.410","+0.730","+0.21%","4212134300000.00","34108869","11839849162.00","346.080","346.110","40","80","351.220","343.680","355.130","343.870","2.12","-33.33%","3.28%","31.860","0.31%","0.17%","-0.30%","+2.67%","+1.64%","+1.90%","-0.12%","+25.96%","+35.29%","+9.97%","互联网内容与信息"
"MSFT","微软","493.780","-3.970","-0.80%","3666585852545.98","39622288","19587787759.00","493.780","494.000","80","80","497.965","497.750","498.650","491.100","2.17","0.00%","1.52%","27.508","0.53%","0.19%","-0.05%","-0.37%","-3.20%","+2.62%","+35.37%","+38.96%","-3.88%","+2.75%","软件基础设施"
"AMZN","亚马逊","253.710","+2.520","+1.00%","2736595616352.12","52274713","13252277897.00","254.010","254.230","100","100","252.920","251.190","255.430","251.880","1.61","0.00%","1.41%","35.384","0.53%","0.12%","-0.06%","-1.20%","-2.00%","-2.46%","+8.30%","+27.28%","+9.60%","+9.92%","互联网零售"
"TSM","台积电","434.670","+4.410","+1.02%","2254418086621.68","12905093","5586926379.00","433.260","433.560","40","80","429.040","430.260","434.817","428.980","1.12","-33.33%","1.36%","42.369","0.28%","0.59%","+0.59%","+0.60%","+4.51%","+4.77%","-1.13%","+33.70%","+65.81%","+44.15%","半导体"
"SPCX","SpaceX","152.710","-2.100","-1.36%","2012989615400.95","335670483","51221543303.00","152.640","152.650","100","100","154.600","154.810","156.600","149.930","4.04","0.00%","4.31%","亏损","14.94%","0.33%","-0.01%","+0.99%","+1.98%","+13.96%","-1.18%","+13.12%","+13.12%","+13.12%","航空航天与国防"
"AVGO","博通","357.610","+10.310","+2.97%","1707097776022.65","44032802","15728354604.00","356.850","357.000","40","520","352.080","347.300","363.282","351.330","1.74","-85.71%","3.44%","74.970","0.95%","0.09%","+0.26%","-1.21%","+0.13%","-1.76%","-6.40%","+19.12%","+4.43%","+3.71%","半导体"
"META","Meta Platforms","665.750","-16.560","-2.43%","1696002269293.75","27596431","18549286161.00","668.390","668.580","520","1200","688.620","682.310","690.150","660.800","1.54","-39.53%","4.30%","28.341","1.26%","0.22%","-0.00%","+2.73%","+9.02%","+21.97%","+19.38%","+26.75%","-14.19%","+1.04%","互联网内容与信息"
